When was Shakespeare baptized?	April 26, 1564
"Which poet wrote a similar poem to ""Lines Written in Early Spring"" titled ""This Lime-Tree Bower my Prison""?"	Samuel Taylor Coleridge
"What does ""Hart-Leap Well"" celebrate?"	Man's special relationship with nature
"When was ""Hart-Leap Well"" published?"	1800
"Where was ""The Influence of Nature"" or ""To Ruth"" written?"	Germany
"What happens to Ruth in ""The Influence of Nature""?"	She is deserted by a charming young man and becomes a vagrant
"What is the rhyming scheme of ""The Influence of Nature"" or ""To Ruth""?"	AABCCB
"When were the ""Sonnets Dedicated to Liberty"" published?"	1807
"What do the ""Sonnets Dedicated to Liberty"" address?"	The dire consequences of French policy
Who viewed Wordsworth, Southey, and Coleridge as representatives of a sect of poets dissenters from the established systems in poetry and criticism?	Francis Jeffrey
"When were the ""Ecclesiastical Sonnets"" written?"	1821
"What tone do the ""Ecclesiastical Sonnets"" have?"	Miltonic
"Who said, ""Wordsworth uttered nothing base""?"	Tennyson
"Who described the evolution of Wordsworth's reputation from ""trampled underfoot"" to ""triumphant"" between 1820 and 1835?"	Thomas De Quincey
"Who wrote, ""He spoke, and loosed our heart in tears. He laid us as he lay at birth on the cool of flowery lap of earth""?"	Matthew Arnold
"In ""Essays in Criticism,"" who said that Wordsworth’s expression is ""bald as the bare mountain tops""?"	Matthew Arnold
"Which poet criticized Wordsworth for ""Just for a handful of silver he left us""?"	Robert Browning
"Who referred to Wordsworth’s poem ""The Excursion"" as ""A drowsy frowsy poem""?"	Lord Byron
"Who said, ""We learn from Horace, Homer sometimes sleeps; We feel without him: Wordsworth sometimes wakes""?"	Lord Byron
"In ""English Bards and Scotch Reviewers,"" who criticized Wordsworth by saying, ""Who, both by precept and example, shows That prose is verse, and verse is merely prose""?"	Lord Byron
"Who referred to Wordsworth's poetry as ""childish verse""?"	Lord Byron
"Who called Wordsworth a ""stupendous genius"" anda ""damned fool""?"	Lord Byron
"Who argued that ""Wordsworth's genius is pure emanation of the spirit of the Age""?"	William Hazlitt
"Who criticized Wordsworth for ""certain philosophy engendered in the whims of an egotist""?"	John Keats
"In the poem ""To Wordsworth,"" who expressed grief over Wordsworth's abandonment of ""truth and liberty""?"	P. B. Shelley
"Who wrote, ""Two voices are there: one is hot deep... And, Wordsworth, both are thine""?"	James Kenneth Stephen
"In which poem did S. T. Coleridge refer to Wordsworth as ""friend of the voice and teacher of the good""?"	To William Wordsworth
"Who said that the ""Preface (1800) is a declaration of the need for democracy in poetry""?"	Carlos Barca
"Who wrote: ""The Mind of Man - My haunt, and the main region of my song""?"	William Wordsworth
"In which book does the quote ""The good die first, And they whose hearts are dry as summer dust Burn to the socket"" appear?"	The Excursion
"""Bliss was it in that dawn to be alive, But to be young was very heaven as it appeared to Enthusiasts."" This quote is from:"	1809
"""Not choice But habit rules the unreflecting herd."" This quote is from which poem?"	Grant That by This Unsparing Hurricane
"""We must be free or die, who speak the tongue that Shakespeare spake; the faith and morals hold Which Milton held."" This quote is from:"	It is Not to be Thought of That the Flood
"In which poem does the quote ""I travelled among unknown men, In lands beyond the sea; Not England! did I know till then What love I bore to thee"" appear?"	I Travelled Among Unknown Men
"""On that best portion of a good man's life, His little, nameless, unremembered acts of kindness and of love."" This quote is from which poem?"	Lines Composed of Few Miles Above Tintern Abbey
"""I have learned to look on nature, not as in the hour of thoughtless youth; but hearing oftentimes the still, sad music of humanity."" This quote is from:"	Lines Composed of Few Miles Above Tintern Abbey
"""All the mighty world of eye and ear, both what they half-create and what perceive."" This quote is from:"	Lines Composed of Few Miles Above Tintern Abbey
"""And much it grieved my heart to think what man has made of man."" This quote is from:"	Lines Written in Early Spring
"Who is being addressed in the quote ""Milton! thou shouldst be living at this hour: England hath need of thee: she is a fen of stagnant waters""?"	John Milton
"""The child is the father of man; And I could wish my days to be Bound each to each by natural piety."" This quote is from which poem?"	My Heart Leaps up When I Behold
"""Bound within the Sonnet's scanty plot of ground."" This quote is from which poem?"	Nuns Fret not at Their Convent's Narrow Room
"""With gentle hand Touch — for there is a spirit in the woods."" This quote is from:"	Nutting
"""A timely utterance gave that thought relief, AndI again am strong."" This quote is from which poem?"	Immortality Ode
"""Whither is fled the visionary gleam? Where is it now, the glory and the dream?"" This quote is from:"	Immortality Ode
"""As if his whole vocation Were endless imitation."" This quote is from which poem?"	Immortality Ode
"""Full soon the Soul shall have her earthly freight, And custom lie upon thee with a weight, Heavy as frost, and deep almost as life!"" This quote is from:"	Immortality Ode
"""Stern daughter of voice of God! O Duty!"" This quote is from which poem?"	Ode to Duty
"""Plain living and high thinking are no more: The homely beauty of the good old cause is gone."" This quote is from:"	Ode to Duty
"""It some party in parlour, Cramped just as they on earth were crammed - Some sipping punch, some sipping tea, But as you by their faces see All silent, and all damned."" This quote is from:"	Peter Bell
"""A reasoning, self-sufficing thing, And intellectual All-in-all!"" This quote is from which poem?"	Poet's Epitaph
"""In common things that round us lie Some random truths he can impart, - The harvest of a quiet eye That broods and sleeps on his own heart."" This quote is from:"	Poet's Epitaph
"""Escaped from the vast city, where I long had pined A discontented sojourner."" This quote is from:"	The Prelude Book 1
"""Fair seed-time had my soul, and I grew up Fostered alike by beauty and the fear."" This quote is from:"	The Prelude Book 1
"""And I was taught to feel, perhaps too much, The self-sufficing power of Solitude."" This quote is from:"	The Prelude Book 2
"""Full soon the Soul shall have her earthly freight, And custom lie upon thee with a weight, Heavy as frost, and deep almost as life!"" This quote is from:"	Immortality Ode
"""Stern daughter of voice of God! O Duty!"" This quote is from which poem?"	Ode to Duty
"""Plain living and high thinking are no more: The homely beauty of the good old cause is gone."" This quote is from:"	Ode to Duty
"""It some party in parlour, Cramped just as they on earth were crammed - Some sipping punch, some sipping tea, But as you by their faces see All silent, and all damned."" This quote is from:"	Peter Bell
"""The statue stood of Newton, with this prism, and silent face: The Marble index of a mind forever voyaging through strange seas of Thought, alone."" This quote is from:"	The Prelude Book 3
"""We were brothers all in honour, as in one community, Scholars and gentlemen."" This quote is from:"	The Prelude Book 9
"""All things have second birth; The earthquake is not satisfied at once."" This quote is from:"	The Prelude Book 10
"""There is one great society alone on earth, The noble Living, and the noble Dead."" This quote is from:"	The Prelude Book 11
"""I shook the habit off, Entirely and for ever, and again In Nature's presence stood, as now I stand, A sensitive being, a creative soul."" This quote is from:"	The Prelude Book 12
"""Imagination, which in truth, Is but another name for absolute power And clearest and insight, amplitude of mind, And Reason, in her most exalted mood."" This quote is from:"	The Prelude Book 14
"""I thought of Chatterton, the marvellous boy, The sleepless soul that perished in its pride."" This quote is from:"	Resolution and Independence
"""We poets in our youth begin in gladness; But thereof comes in the end despondency and madness."" This quote is from:"	Resolution and Independence
"""Cold, pain, and labour, and all fleshly ills; And mighty Poets in their misery dead."" This quote is from:"	Resolution and Independence
"""Still glides the Stream, and shall for ever glide; The Form remains, the Function never dies."" This quote is from:"	The River Duddon
"""Scorn not the Sonnet; Critic, you have frowned, Mindless of its just honours; with this key Shakespeare unlocked his heart."" This quote is from:"	Scorn not the Sonnet
"""But how could I forget thee? Through what powers, Even for the least division of an hour, Have I been so beguiled as to be blind To my most grievous loss?"" This quote is from:"	Surprised by Joy
"""One impulse from the vernal wood May teach you more of man Of moral evil and of good, Than all the sages can."" This quote is from:"	The Tables Turned
"“Our meddling intellect Miss-shapes the beauteous of things: - We murder to dissect. Enough of science and art; Close up these barren leaves."" This quote is from:"	The Tables Turned
"""Two voices are there; one is of the sea, One of the mountains; each a mighty Voice: In both from age to age thou didst rejoice, They were thy chosen music, Liberty!"" This quote is from:"	Thought of a Briton on the Subjugation of Switzerland
"""Type of the wise who soar, but never roam; True to the kindred points of heaven and home!"" This quote is from:"	To the Skylark
"""O blithe new-comer! I have heard, I hear thee and rejoice: O Cuckoo! Shall I call thee bird, Or but a wandering voice?"" This quote is from:"	To the Cuckoo
"""Though fallen thyself, never to rise again, Live, and take comfort. Thou hast left behind Powers that will work for thee — air, earth, and skies —There's not a breathing of the common wind That we forget thee! Thou hast great allies; Thy friends are exultations, agonies, And love, and men's unconquerable mind."" This quote is from:"	To Toussaint L'Ouverture
"""A simple child, dear brother Jim, That lightly draws its breath, And feels its life in every limb, What should it know of death?"" This quote is from:"	We are Seven
"""I propose to myself to imitate, and as far as possible, to adopt the very language of men ... I wish to keep my reader in the company of flesh and blood."" This quote is from:"	Preface to Lyrical Ballads (1800)
"""The poet writes under one restriction only, namely, the necessity of giving immediate pleasure to a human being possessed of that information which may be expected from him, not as a lawyer, a physician, the mariners, and astronomer or a natural philosopher, but"" This quote is from:"	Preface to Lyrical Ballads (1802)
